area,distance,first_registration,fuel,price,search,title,url,year
,101107,2017-08-31,Elektrisitet,144900,Hyundai Ioniq,Hyundai IONIQ (basismodell) OUTLET | RATT/V | R/KAM | ACC | PDC,https://www.finn.no/car/used/ad.html?finnkode=343754090,2017
,39324,2017-06-30,El + Bensin,189900,Hyundai Ioniq,Hyundai IONIQ Teknikk OUTLET | SKINN | VENTILASJON | NAVI | DAB,https://www.finn.no/car/used/ad.html?finnkode=343754553,2017
"Haraldrudveien 9, 0581 Oslo",92216,2019-02-06,Elektrisitet,149900,Hyundai Ioniq,Hyundai IONIQ Teknikk VI TAR INNBYTTE - SKINNSETER/ADAPTIVECRUISE,https://www.finn.no/car/used/ad.html?finnkode=343755420,2019
"Rudssletta 24, 1351 Rud",57836,2017-11-28,El + Bensin,159900,Hyundai Ioniq,Hyundai IONIQ Teknikk /Outlet/Toppmodell/Adaptiv Cruise,https://www.finn.no/car/used/ad.html?finnkode=343771196,2017
"Haraldrudveien 9, 0581 Oslo",78266,2022-07-20,Elektrisitet,469900,Hyundai Ioniq,Hyundai Ioniq 5 Long Range AWD Premium VI TAR INBYTTE! - GODT UTSTYRT!,https://www.finn.no/car/used/ad.html?finnkode=343755583,2022
"Rudssletta 24, 1351 Rud",48500,2020-11-20,Elektrisitet,249900,Hyundai Ioniq,Hyundai IONIQ Premium NORSK BIL! GARANTI/VARMEPUMPE/HURTIGLADER/SKINN,https://www.finn.no/car/used/ad.html?finnkode=343838425,2020
"Rudssletta 24, 1351 Rud",44490,2019-06-17,Elektrisitet,187900,Hyundai Ioniq,Hyundai IONIQ Teknikk NORSK BIL! VARMEPUMPE/SKINN/KAMERA/NAVIGASJON++,https://www.finn.no/car/used/ad.html?finnkode=343835547,2019
,175000,2017-06-19,Elektrisitet,119900,Hyundai Ioniq,Hyundai IONIQ Teknikk OUTLET | R KAM | NAVI | RATTVARME | INFINITY,https://www.finn.no/car/used/ad.html?finnkode=343830371,2017
"Industriv 39, 2212 Kongsvinger",65200,2020-12-18,Elektrisitet,219000,Hyundai Ioniq,Hyundai IONIQ Premium  Norsk/LED/App-styring++ *KAMPANJE*,https://www.finn.no/car/used/ad.html?finnkode=343837099,2020
"Rudssletta 24, 1351 Rud",148332,2018-01-02,Elektrisitet,139900,Hyundai Ioniq,Hyundai IONIQ Teknikk |Outlet|EU02/2026|Kamera|ACC,https://www.finn.no/car/used/ad.html?finnkode=343839232,2017
"Hadelandsveien 1, 2816 Gjøvik",16000,2023-03-10,Elektrisitet,439900,Hyundai Ioniq,"Hyundai Ioniq 6 Matrix,ACC,614KM-WLTP",https://www.finn.no/car/used/ad.html?finnkode=343841883,2023
"Hadelandsveien 1, 2816 Gjøvik",15800,2022-05-06,Elektrisitet,288900,Hyundai Ioniq,"Hyundai IONIQ Led,Cruise,Bluelink++",https://www.finn.no/car/used/ad.html?finnkode=343849177,2022
"Hadelandsveien 1, 2816 Gjøvik",69900,2018-01-29,Elektrisitet,178900,Hyundai Ioniq,Hyundai IONIQ IONIQ,https://www.finn.no/car/used/ad.html?finnkode=343849273,2017
"Forusskogen 1, 4031 Stavanger",106000,2017-09-11,Elektrisitet,139900,Hyundai Ioniq,Hyundai IONIQ SKINN/KAMERA/ADAPTIVE/LED/INFINITY/KJØLING/++,https://www.finn.no/car/used/ad.html?finnkode=343884109,2017
"Rudssletta 24, 1351 Rud",8654,2023-03-30,Elektrisitet,264900,Hyundai Ioniq,Hyundai Kona Trend SR NORSK BIL!/Varmepumpe/Kamera/Sommer/Vinter+++,https://www.finn.no/car/used/ad.html?finnkode=343885313,2023
"Rudssletta 24, 1351 Rud",10834,2023-03-30,Elektrisitet,263900,Hyundai Ioniq,Hyundai Kona Trend SR Appstyring av klima/Norsk bil/Garanti/Kamera++,https://www.finn.no/car/used/ad.html?finnkode=343885492,2023
"Industrigaten 24, 5537 Haugesund",112000,2018-12-19,Elektrisitet,168900,Hyundai Ioniq,Hyundai IONIQ Teknikk Skinn/Navi/DAB+,https://www.finn.no/car/used/ad.html?finnkode=343887601,2019
,9732,2022-07-29,Elektrisitet,479900,Hyundai Ioniq,Hyundai Ioniq 5 Long Range AWD Premium | RÅSKINN | TOPPUTSTYRT |,https://www.finn.no/car/used/ad.html?finnkode=343892267,2022
,80300,2021-11-25,Elektrisitet,339900,Hyundai Ioniq,Hyundai Ioniq 5 LR RWD Premium OUTLET | HUD | 360 | SKINN | ACC,https://www.finn.no/car/used/ad.html?finnkode=343692618,2022
