area,distance,first_registration,fuel,price,search,title,url,year
"Litleåsvegen 65, 5132 Nyborg",26600,2020-11-09,Elektrisitet,229900,Hyundai Ioniq,Hyundai IONIQ 311km WLTP/Norsk/Premium/Skinn/ACC/Kamera/Facelift/S+V,https://www.finn.no/car/used/ad.html?finnkode=338627986,2020
"Vestre Svanholmen 9, 4313 Sandnes",13185,2022-12-29,Elektrisitet,499000,Hyundai Ioniq,Hyundai Ioniq 5 LR AWD Premium Norsk!,https://www.finn.no/car/used/ad.html?finnkode=338645485,2023
"Gladengveien 9, 0661 Oslo",26737,2023-03-08,Elektrisitet,498900,Hyundai Ioniq,Hyundai Ioniq 6 Premium Long Range AWD 77kWh/583Km -Norsk Bil!-Som Ny!,https://www.finn.no/car/used/ad.html?finnkode=338638367,2023
"Liavegen 12, 5132 Nyborg",26500,2021-02-01,Elektrisitet,224900,Hyundai Ioniq,Hyundai IONIQ Premium PEN BIL/LAV KM/ TOPPMODELL!,https://www.finn.no/car/used/ad.html?finnkode=339261963,2020
"Janaflaten 43, 5179 Godvik",48678,2020-03-31,Elektrisitet,218900,Hyundai Ioniq,"Hyundai IONIQ Teknikk Skinn,",https://www.finn.no/car/used/ad.html?finnkode=339289880,2020
"Klokkergårdveien 9, 1711 Sarpsborg",17500,2023-03-08,Elektrisitet,449900,Hyundai Ioniq,Hyundai Ioniq 6 IONIQ6 Premium/RWD/Skinn/HUD/Bluelink+++,https://www.finn.no/car/used/ad.html?finnkode=339294868,2023
"Janaflaten 43, 5179 Godvik",72000,2020-02-12,Elektrisitet,208900,Hyundai Ioniq,Hyundai IONIQ Teknikk APPSTYRT VARME/EL.SKINN/ADAPTIV CRUISE++,https://www.finn.no/car/used/ad.html?finnkode=339290009,2020
"Kirkeveien 37, 3121 Nøtterøy",62548,2021-05-31,Elektrisitet,229900,Hyundai Ioniq,Hyundai IONIQ PREMIUM/NORSK/NAVI/KAMERA/INFINITY/CARPLAY/VELHOLDT!,https://www.finn.no/car/used/ad.html?finnkode=339315623,2021
"Midtstranda 65, 2321 Hamar",12000,2023-08-10,Elektrisitet,499000,Hyundai Ioniq,Hyundai Ioniq 6 | LR AWD | Premium | H.feste | Norsk bil |,https://www.finn.no/car/used/ad.html?finnkode=339340976,2023
"Midtstranda 65, 2321 Hamar",6000,2023-10-20,Elektrisitet,545000,Hyundai Ioniq,Hyundai Ioniq 5 | LR AWD Premium | Norsk bil | Hengerfeste |,https://www.finn.no/car/used/ad.html?finnkode=339341783,2023
"Tegelgata 4, 7502 Stjørdal",25000,2022-11-03,Elektrisitet,509900,Hyundai Ioniq,Hyundai Ioniq 5 Premium Long Range AWD med 20' Vision Pack Hengerfeste,https://www.finn.no/car/used/ad.html?finnkode=339409344,2023
"Pålsvei 9-13, 8008 Bodø",7220,2023-04-27,Elektrisitet,499000,Hyundai Ioniq,"Hyundai Ioniq 5 Premium AWD, Norsk bil, Lav Km!",https://www.finn.no/car/used/ad.html?finnkode=339421937,2023
"Rørgata 4, 6517 Kristiansund N",32300,2020-09-07,Elektrisitet,229000,Hyundai Ioniq,Hyundai IONIQ 136HK PREMIUM/ACC/NORSK/APP/NAVI/KAMERA,https://www.finn.no/car/used/ad.html?finnkode=339418280,2020
"Enenveien 1A, 6416 Molde",12000,2022-12-23,Elektrisitet,489000,Hyundai Ioniq,Hyundai Ioniq 5 AWD 325HK Long Range Premium Norsk bil,https://www.finn.no/car/used/ad.html?finnkode=339436686,2023
"Enenveien 1A, 6416 Molde",17700,2022-11-10,Elektrisitet,489000,Hyundai Ioniq,Hyundai Ioniq 5 AWD 325HK Long Range Premium Norsk bil,https://www.finn.no/car/used/ad.html?finnkode=339442098,2023
"Enenveien 1A, 6416 Molde",17000,2022-11-04,Elektrisitet,489000,Hyundai Ioniq,Hyundai Ioniq 5 AWD 325HK Long Range Premium Norsk bil,https://www.finn.no/car/used/ad.html?finnkode=339442758,2023
"Enenveien 1A, 6416 Molde",12600,2022-10-31,Elektrisitet,489000,Hyundai Ioniq,Hyundai Ioniq 5 AWD 325HK Long Range Premium Norsk bil,https://www.finn.no/car/used/ad.html?finnkode=339443261,2023
"Lerstadveien 534, 6018 Ålesund",59000,2021-05-19,Elektrisitet,459000,Hyundai Ioniq,Hyundai Ioniq 5 | Skinn | Hengerfeste | 4x4,https://www.finn.no/car/used/ad.html?finnkode=339451913,2022
