area,distance,first_registration,fuel,price,search,title,url,year
"Solstrand, 9020 Tromsdalen",25000,2021-02-25,Diesel,496129,Skoda Superb,Skoda Superb 2.0  TDI 4X4 Style L&K 200Hk,https://www.finn.no/car/used/ad.html?finnkode=335342588,2021
"Barstølveien 22 F, 4636 Kristiansand S",89610,2016-07-08,Diesel,238900,Skoda Superb,Skoda Superb 150HK DSG Style Delskinn Amundsen Canton ACC EU 05/25,https://www.finn.no/car/used/ad.html?finnkode=335617653,2016
"Vallermyrvegen 36, 3917 Porsgrunn",85878,2020-07-01,El + Bensin,299000,Skoda Superb,"Skoda Superb 1,4 TSI 218hk iV L&K aut L&K/CarPlay/Skinn/Hybrid/ACC",https://www.finn.no/car/used/ad.html?finnkode=335620025,2020
"Øvre rælingsvei 176, 2008 Fjerdingby",167900,2015-11-30,Diesel,229147,Skoda Superb,"Skoda Superb 2,0 TDI 150hk L&K aut",https://www.finn.no/car/used/ad.html?finnkode=336329204,2016
"Herbergveien 4, 1710 Sarpsborg",64500,2021-03-30,El + Bensin,329000,Skoda Superb,"Skoda Superb 1,4 TSI 218hk iV L&K Skinn/ACC/Ryggekam/Webasto/Navi/Kr",https://www.finn.no/car/used/ad.html?finnkode=336455163,2021
"Kjeller vest 1, 2007 Kjeller",195684,2011-08-04,Diesel,69000,Skoda Superb,Skoda Superb EU til 09/25 - Cruise Control,https://www.finn.no/car/used/ad.html?finnkode=336648784,2012
5955 Lindås,566000,2017-09-18,Diesel,28982,Skoda Superb,Skoda Superb SUPERB 2.0-140 D 4X4,https://www.finn.no/car/used/ad.html?finnkode=222203034,2012
"Bangvegen 271, 7514 Stjørdal",117000,2015-02-18,Diesel,219990,Skoda Superb,Skoda Superb GARANTI12MND/WEBASTO/ACC/ALCANTARA/4X4/KROK/AUTOMAT,https://www.finn.no/car/used/ad.html?finnkode=336711936,2015
"Kokstadveien 29, 5257 Kokstad",20541,2022-12-13,Diesel,549900,Skoda Superb,"Skoda Superb 2,0 TDI 200hk Style 4x4 Canton, Navi, Skinn, ACC",https://www.finn.no/car/used/ad.html?finnkode=337304650,2023
"Sportsveien 3, 3615 Kongsberg",122090,2021-01-15,Diesel,329000,Skoda Superb,"Skoda Superb 2,0 TDI 150hk L&K aut KAMERA/WEBASTO/H.FESTE",https://www.finn.no/car/used/ad.html?finnkode=337164848,2021
"Elgvegen 2, 2340 Løten",92214,2020-12-09,El + Bensin,295000,Skoda Superb,"Skoda Superb 1,4 TSI 218hk iV Style INNBYTTEKAMPANJE",https://www.finn.no/car/used/ad.html?finnkode=337563248,2021
"Fjellvegen 6, 7873 Harran",190000,2017-04-24,Diesel,159000,Skoda Superb,"Skoda Superb 1,6 TDI 120hk Style / Webasto / Krok",https://www.finn.no/car/used/ad.html?finnkode=339939859,2017
4985 Vegårshei,150000,2017-08-30,Diesel,199305,Skoda Superb,Skoda Superb SUPERB 1.6-120 D,https://www.finn.no/car/used/ad.html?finnkode=337676452,2018
"Hans Nielsen Hauges gate 52, 0481 Oslo",187000,2013-05-29,Diesel,99000,Skoda Superb,"Skoda Superb 2,0 140HK AUTOMAT EUOK 2025 XENON SKINN KROK MEMORY+++",https://www.finn.no/car/used/ad.html?finnkode=337615507,2013
"Hensmoveien 18, 3516 Hønefoss",132400,2016-08-10,Diesel,269000,Skoda Superb,Skoda Superb 2.0TDI 190hk DSG / L&K / Webasto / Krok / Canton,https://www.finn.no/car/used/ad.html?finnkode=340101862,2016
