area,distance,first_registration,fuel,price,search,title,url,year
"Bedriftsveien 13, 6517 Kristiansund N",44729,2021-03-18,El + Bensin,288000,Toyota Corolla Touring Sports,"Toyota Corolla 1,8 Hybrid Touring Sports Active Tech",https://www.finn.no/car/used/ad.html?finnkode=335954018,2021
"Kvaen veien 1, 1529 Moss",86925,2021-03-02,El + Bensin,248000,Toyota Corolla Touring Sports,"Toyota Corolla 1,8 Hybrid Touring Sports Active Tech / BRUKTBILKAMPANJ",https://www.finn.no/car/used/ad.html?finnkode=336249540,2021
"Digernes Næringspark 6, 6018 Ålesund",16850,2022-11-30,El + Bensin,359000,Toyota Corolla Touring Sports,"Toyota Corolla 1,8 Hybrid Touring Sports Active Tech Velholdt, lav KM!",https://www.finn.no/car/used/ad.html?finnkode=335726213,2022
"Salhusvegen 169, 5538 Haugesund",48651,2022-04-27,El + Bensin,309000,Toyota Corolla Touring Sports,"Toyota Corolla 1,8 Hybrid Touring Sports Active Tech TECTYL - KAMPANJE",https://www.finn.no/car/used/ad.html?finnkode=336441478,2022
"Digernes Næringspark 6, 6018 Ålesund",15425,2022-11-28,El + Bensin,359000,Toyota Corolla Touring Sports,"Toyota Corolla 1,8 Hybrid Touring Sports Active Tech Velholdt, lav KM!",https://www.finn.no/car/used/ad.html?finnkode=336420668,2022
"Løypstrengen 14, 7300 Orkanger",30603,2021-09-09,El + Bensin,269900,Toyota Corolla Touring Sports,Toyota Corolla Touring Sports Hybrid Active Tech,https://www.finn.no/car/used/ad.html?finnkode=336526754,2021
"Fossveien 3, 4373 Egersund",91200,2019-11-12,El + Bensin,259000,Toyota Corolla Touring Sports,"Toyota Corolla 1,8 Hybrid Touring Sports e-CVT Executive Tectyl/Navi/",https://www.finn.no/car/used/ad.html?finnkode=336535801,2019
"Drengsrudbekken 4, 1383 Asker",25600,2021-03-18,El + Bensin,296000,Toyota Corolla Touring Sports,"Toyota Corolla 1,8 Hybrid Touring Sports Active Tech INNBYTTEKAMPANJE",https://www.finn.no/car/used/ad.html?finnkode=336549431,2021
"Raukveien 10, 0680 Oslo",45000,2020-10-13,El + Bensin,276129,Toyota Corolla Touring Sports,"Toyota Corolla 1,8 Hybrid Touring Sports e-CVT Active Tech",https://www.finn.no/car/used/ad.html?finnkode=336591958,2020
"Russesletta 5, 8907 Brønnøysund",26760,2021-03-18,El + Bensin,309000,Toyota Corolla Touring Sports,"Toyota Corolla 1,8 Hybrid Touring Sports Active Tech",https://www.finn.no/car/used/ad.html?finnkode=336663610,2021
"Drengsrudbekken 4, 1383 Asker",42400,2020-03-19,El + Bensin,279000,Toyota Corolla Touring Sports,"Toyota Corolla 2,0 Hybrid e-CVT Touring Sports Active Tech KAMPANJE",https://www.finn.no/car/used/ad.html?finnkode=336757299,2020
"Bedriftsveien 13, 6517 Kristiansund N",23931,2020-07-21,El + Bensin,269000,Toyota Corolla Touring Sports,"Toyota Corolla 1,8 Hybrid Touring Sports e-CVT Active",https://www.finn.no/car/used/ad.html?finnkode=336667332,2020
"Olav Ingstadsvei 7, 1351 Rud",56018,2021-04-09,El + Bensin,265000,Toyota Corolla Touring Sports,"Toyota Corolla 1,8 Hybrid Touring Sports Active Tech",https://www.finn.no/car/used/ad.html?finnkode=336759607,2021
"Ulvesundvegen 6, 6718 Deknepollen",10300,2022-05-16,El + Bensin,348000,Toyota Corolla Touring Sports,"Toyota Corolla 1,8 Hybrid Touring Sports GR Sport",https://www.finn.no/car/used/ad.html?finnkode=336780723,2022
"Ankenesveien 1, 8513 Ankenes",59887,2021-02-25,El + Bensin,259900,Toyota Corolla Touring Sports,"Toyota Corolla 1,8 Hybrid Touring Sports Active Tech",https://www.finn.no/car/used/ad.html?finnkode=337153130,2021
"Sundmoen Næringsområde, 3302 Hokksund",49878,2021-11-30,El + Bensin,298000,Toyota Corolla Touring Sports,"Toyota Corolla 1,8 Hybrid Touring Sports GR Sport BRUKTBILKAMPANJE",https://www.finn.no/car/used/ad.html?finnkode=337175505,2021
"Sundmoen Næringsområde, 3302 Hokksund",51401,2021-12-21,El + Bensin,298000,Toyota Corolla Touring Sports,"Toyota Corolla 1,8 Hybrid Touring Sports GR Sport BRUKTBILKAMPANJE",https://www.finn.no/car/used/ad.html?finnkode=337175951,2021
"Sundmoen Næringsområde, 3302 Hokksund",37373,2021-12-06,El + Bensin,289000,Toyota Corolla Touring Sports,"Toyota Corolla 1,8 Hybrid Touring Sports Active Tech BRUKTBILKAMPANJE",https://www.finn.no/car/used/ad.html?finnkode=337205546,2021
"Myrdalsvegen 20, 5131 Nyborg",20900,2019-07-03,El + Bensin,289000,Toyota Corolla Touring Sports,"Toyota Corolla 2,0 Hybrid Touring Sports Active Tech INNBYTTEKAMPANJE",https://www.finn.no/car/used/ad.html?finnkode=337209102,2019
"Oreveien 21, 4560 Vanse",50293,2021-05-20,El + Bensin,299000,Toyota Corolla Touring Sports,"Toyota Corolla 1,8 Hybrid Touring Sports Active Tech kampanjerente!",https://www.finn.no/car/used/ad.html?finnkode=337212242,2021
"Industrivegen 9, 2642 Kvam",45000,2019-03-20,El + Bensin,249000,Toyota Corolla Touring Sports,Toyota Corolla 2.0 e-CVT Touring Sports Executive,https://www.finn.no/car/used/ad.html?finnkode=337309264,2019
"Oreveien 21, 4560 Vanse",33820,2021-05-20,El + Bensin,299000,Toyota Corolla Touring Sports,"Toyota Corolla 1,8 Hybrid Touring Sports Active Tech Kampanjerente!",https://www.finn.no/car/used/ad.html?finnkode=337212741,2021
"Myrdalsvegen 20, 5131 Nyborg",59200,2021-04-26,El + Bensin,269000,Toyota Corolla Touring Sports,"Toyota Corolla 1,8 Hybrid Touring Sports Active Tech INNBYTTEKAMPANJE",https://www.finn.no/car/used/ad.html?finnkode=337292970,2021
"Sagveien 1, 1814 Askim",6956,2023-07-13,El + Bensin,399000,Toyota Corolla Touring Sports,"Toyota Corolla 1,8 Hybrid Touring Sports GR Sport LAV KM.",https://www.finn.no/car/used/ad.html?finnkode=337455334,2023
"Langelandsvegen 2, 6018 Ålesund",55310,2020-02-03,El + Bensin,238000,Toyota Corolla Touring Sports,"Toyota Corolla 1,8 Hybrid Touring Sports e-CVT Active KAMPANJE SE PRIS",https://www.finn.no/car/used/ad.html?finnkode=338021782,2020
"Langelandsvegen 2, 6018 Ålesund",45795,2020-01-16,El + Bensin,238000,Toyota Corolla Touring Sports,"Toyota Corolla 1,8 Hybrid Touring Sports e-CVT Active Kjøreglede!!",https://www.finn.no/car/used/ad.html?finnkode=338024128,2020
"Langelandsvegen 2, 6018 Ålesund",44500,2020-08-20,El + Bensin,248000,Toyota Corolla Touring Sports,"Toyota Corolla 1,8 Hybrid Touring Sports e-CVT Active Tech KAMPANJE",https://www.finn.no/car/used/ad.html?finnkode=338023622,2020
"Langelandsvegen 2, 6018 Ålesund",31285,2020-08-27,El + Bensin,258000,Toyota Corolla Touring Sports,"Toyota Corolla 1,8 Hybrid Touring Sports e-CVT Active Tech Velutstyrt§",https://www.finn.no/car/used/ad.html?finnkode=338023886,2020
"Langelandsvegen 2, 6018 Ålesund",47200,2020-03-05,El + Bensin,238000,Toyota Corolla Touring Sports,"Toyota Corolla 1,8 Hybrid Touring Sports e-CVT Active KAMPANJE SE PRIS",https://www.finn.no/car/used/ad.html?finnkode=338023104,2020
"Myrdalsvegen 20, 5131 Nyborg",49800,2021-10-26,El + Bensin,269000,Toyota Corolla Touring Sports,"Toyota Corolla 1,8 Hybrid Touring Sports Active Tech",https://www.finn.no/car/used/ad.html?finnkode=338134287,2021
"Mosseveien 13, 1610 Fredrikstad",28510,2021-07-06,El + Bensin,319000,Toyota Corolla Touring Sports,"Toyota Corolla 1,8 Hybrid Touring Sports Executive BRUKTBILKAMPANJE",https://www.finn.no/car/used/ad.html?finnkode=338212695,2021
"Osloveien 4, 3511 Hønefoss",53186,2019-07-03,El + Bensin,289000,Toyota Corolla Touring Sports,"Toyota Corolla 2,0 Hybrid e-CVT Touring Sports Executive",https://www.finn.no/car/used/ad.html?finnkode=338342782,2019
"Hendenvegen 2, 6423 Molde",43888,2021-04-21,El + Bensin,269000,Toyota Corolla Touring Sports,"Toyota Corolla 1,8 Hybrid Touring Sports Active Tech BRUKTBILKAMPANJE!",https://www.finn.no/car/used/ad.html?finnkode=338356021,2021
"Kjeller Vest 4, 2007 Kjeller",47279,2022-06-13,El + Bensin,319000,Toyota Corolla Touring Sports,"Toyota Corolla 1,8 Hybrid Touring Sports Active Tech",https://www.finn.no/car/used/ad.html?finnkode=338215072,2022
"Drengsrudbekken 4, 1383 Asker",58106,2019-07-17,El + Bensin,269000,Toyota Corolla Touring Sports,"Toyota Corolla 2,0 Hybrid e-CVT Touring Sports Executive KAMPANJE",https://www.finn.no/car/used/ad.html?finnkode=338358081,2019
"Hendenvegen 2, 6423 Molde",43297,2021-04-16,El + Bensin,269000,Toyota Corolla Touring Sports,"Toyota Corolla 1,8 Hybrid Touring Sports Active Tech BRUKTBILKAMPANJE!",https://www.finn.no/car/used/ad.html?finnkode=338354575,2021
"Olav Ingstadsvei 7, 1351 Rud",47808,2021-04-28,El + Bensin,299000,Toyota Corolla Touring Sports,"Toyota Corolla 1,8 Hybrid Touring Sports GR Sport",https://www.finn.no/car/used/ad.html?finnkode=338388554,2021
"Høgskolevegen 1, 7600 Levanger",44451,2021-09-16,El + Bensin,299900,Toyota Corolla Touring Sports,"Toyota Corolla Touring Sports Hybrid 1,8 GR Sport",https://www.finn.no/car/used/ad.html?finnkode=338473568,2021
"Hendenvegen 2, 6423 Molde",57000,2020-02-24,El + Bensin,249000,Toyota Corolla Touring Sports,"Toyota Corolla 1,8 Hybrid Touring Sports e-CVT Active Tech",https://www.finn.no/car/used/ad.html?finnkode=338479221,2020
"Mosseveien 13, 1610 Fredrikstad",43779,2021-08-30,El + Bensin,295000,Toyota Corolla Touring Sports,"Toyota Corolla 1,8 Hybrid Touring Sports GR Sport BRUKTBILKAMPANJE",https://www.finn.no/car/used/ad.html?finnkode=338485858,2021
"Høgskolevegen 1, 7600 Levanger",47582,2022-08-25,El + Bensin,289900,Toyota Corolla Touring Sports,Toyota Corolla Active Hybrid /aut/,https://www.finn.no/car/used/ad.html?finnkode=338489208,2022
"Myrdalsvegen 20, 5131 Nyborg",41700,2021-02-15,El + Bensin,309000,Toyota Corolla Touring Sports,"Toyota Corolla 2,0 Hybrid Touring Sports Active Tech",https://www.finn.no/car/used/ad.html?finnkode=338500655,2021
