area,distance,first_registration,fuel,price,search,title,url,year
"Skattørvegen 58-62, 9018 Tromsø",4000,2023-04-26,Elektrisitet,549900,Nissan ARIYA,"Nissan Ariya e4ORCE Evolve 87kWt KROK/NAPPA SKINN/22KWT/20"" SOMMER",https://www.finn.no/car/used/ad.html?finnkode=339204777,2023
"Janaflaten 43, 5179 Godvik",13200,2023-02-06,Elektrisitet,398900,Nissan ARIYA,"Nissan Ariya Advance 63kWt Varmepumpe, Propilot, 360-kamera,",https://www.finn.no/car/used/ad.html?finnkode=339321064,2023
"Stoaveien 39, 4848 Arendal",22100,2022-10-12,Elektrisitet,458000,Nissan ARIYA,Nissan Ariya Evolve 87kWt 360kam/Panorama/Bose/Hengerfeste/LEDMatrix,https://www.finn.no/car/used/ad.html?finnkode=339429624,2022
"Haraldrudveien 9, 0581 Oslo",9097,2022-09-12,Elektrisitet,399900,Nissan ARIYA,Nissan Ariya Advance 63kWt m. Tech pack - Fin kilometer- Tøff-,https://www.finn.no/car/used/ad.html?finnkode=341245778,2022
"Jordbruksveien 44, 8041 Bodø",15500,2023-05-06,Elektrisitet,549000,Nissan ARIYA,"Nissan Ariya Evolve E-4ORCE 87KW 4x4 22kw Blue nappa skinn Krok 20""",https://www.finn.no/car/used/ad.html?finnkode=339534415,2023
"Høydaveien 7, 1523 Moss",15000,2022-10-31,Elektrisitet,479950,Nissan ARIYA,Nissan Ariya 87kWh/NORSK BIL/EVOLVE/ 22kw/Matrix/360Kam/Navi/BOSE,https://www.finn.no/car/used/ad.html?finnkode=341131196,2022
"Klaus Torgårdsvei 3, 0805 Oslo",12000,2023-08-29,Elektrisitet,389000,Nissan ARIYA,Nissan Ariya Advance 63kWt,https://www.finn.no/car/used/ad.html?finnkode=341264801,2023
"Haraldrudveien 9, 0581 Oslo",23286,2023-06-22,Elektrisitet,469900,Nissan ARIYA,Nissan Ariya Advance 87kWt - Ta en titt på denne- Vi tar innbytte-,https://www.finn.no/car/used/ad.html?finnkode=341245709,2023
"Hornebergveien 2, 7038 Trondheim",3000,2023-12-22,Elektrisitet,399900,Nissan ARIYA,Nissan Ariya Engage 63kWt /Norsk/Lav.km!!/Krok/++!,https://www.finn.no/car/used/ad.html?finnkode=341355658,2023
"Svartbekkvegen 75, 2406 Elverum",25000,2022-08-17,Elektrisitet,419000,Nissan ARIYA,Nissan Ariya Advance 63kWt,https://www.finn.no/car/used/ad.html?finnkode=341361390,2022
"Grønlikroken 3, 3735 Skien",4900,2022-12-05,Elektrisitet,549000,Nissan ARIYA,Nissan Ariya Evolve 63kWt,https://www.finn.no/car/used/ad.html?finnkode=299385546,2022
"Høydaveien 7, 1523 Moss",420,2022-09-08,Elektrisitet,469950,Nissan ARIYA,Nissan Ariya 63kWh/NORSK BIL/EVOLVE/ 22 KW/Matrix/360Kam/Navi/BOSE,https://www.finn.no/car/used/ad.html?finnkode=309876207,2022
"Depotgata 12, 2000 Lillestrøm",18,2024-01-01,Elektrisitet,569900,Nissan ARIYA,Nissan Ariya 87kWh EVOLVE e-4ORCE 4x4 22kw KROK! + Vinterhjul!,https://www.finn.no/car/used/ad.html?finnkode=317450516,2024
"Glitre, 3550 Gol",100,2023-03-31,Elektrisitet,425000,Nissan ARIYA,Nissan Ariya Advance 63kWt 2 sett hjul,https://www.finn.no/car/used/ad.html?finnkode=311294581,2023
"Tvetenveien 152, 0671 Oslo",6500,2023-07-20,Elektrisitet,519000,Nissan ARIYA,Nissan Ariya EVOLVE / 87kWt / 2WD / FULL + / SERVICEAVTALE / +++,https://www.finn.no/car/used/ad.html?finnkode=322482522,2023
"Fjordgata 9, 7714 Steinkjer",12000,2022-08-09,Elektrisitet,449000,Nissan ARIYA,"Nissan Ariya 63 kWh Advance/Tech pack/20""/HUD/BOSE/ACC",https://www.finn.no/car/used/ad.html?finnkode=323624201,2022
"Bjørnstjerne Bjørnsons gate 78, 3044 Drammen",31,2022-10-17,Elektrisitet,515900,Nissan ARIYA,"Nissan Ariya EVOLVE 87kWh 2WD 20"" PANO/22KW/HeadUp/BOSE/360g kamera",https://www.finn.no/car/used/ad.html?finnkode=290858828,2024
"Dyrskuevegen 4, 2040 Kløfta",500,2022-10-19,Elektrisitet,479001,Nissan ARIYA,Nissan Ariya 525km/87kWh/Evolve/Tech Pack/Bose/HUD/ProPilot/ACC/360,https://www.finn.no/car/used/ad.html?finnkode=324672441,2022
"Kappvegen 1, 2322 Ridabu",4043,2022-12-30,Elektrisitet,419900,Nissan ARIYA,Nissan Ariya Advance 63kWt ADAPTIV CRUISE/VARMEPUMPE/NORSK BIL+++,https://www.finn.no/car/used/ad.html?finnkode=325896778,2022
"Tanaveien 8, 9811 Vadsø",17823,2022-09-27,Elektrisitet,479900,Nissan ARIYA,Nissan Ariya Evolve 87kwh topputstyrt!,https://www.finn.no/car/used/ad.html?finnkode=293457597,2022
"Høydaveien 7, 1523 Moss",5500,2023-05-24,Elektrisitet,474950,Nissan ARIYA,"Nissan Ariya 63kWh/NORSK/EVOLVE/ 20""Aluhjul/DropOff/HeadUp/CarPlay",https://www.finn.no/car/used/ad.html?finnkode=329457450,2023
"Høydaveien 7, 1523 Moss",150,2022-09-08,Elektrisitet,469950,Nissan ARIYA,Nissan Ariya 63kWh/NORSK BIL/EVOLVE/ 22 KW/Matrix/360Kam/Navi/BOSE,https://www.finn.no/car/used/ad.html?finnkode=329557679,2022
"Langemyra 9, 6160 Hovdebygda",7000,2022-08-19,Elektrisitet,459000,Nissan ARIYA,Nissan Ariya 63 kwh Advance LAV KM !!,https://www.finn.no/car/used/ad.html?finnkode=330479247,2022
"Rørgata 4, 6517 Kristiansund N",18585,2022-10-28,Elektrisitet,479000,Nissan ARIYA,Nissan Ariya 87kWt Evolve Topputstyrt,https://www.finn.no/car/used/ad.html?finnkode=330517662,2022
"Bjørnstjerne Bjørnsons gate 78, 3044 Drammen",9500,2023-08-18,Elektrisitet,499990,Nissan ARIYA,Nissan Ariya Evolve 87kWt NAVI-360CAM-Panorama-22kwhombord-DAB+++,https://www.finn.no/car/used/ad.html?finnkode=333354308,2023
"Bjørnstjerne Bjørnsons gate 78, 3044 Drammen",23500,2023-04-04,Elektrisitet,519900,Nissan ARIYA,Nissan Ariya e4ORCE Evolve 87kWt Pano-360Cam-Dab+++,https://www.finn.no/car/used/ad.html?finnkode=335731744,2023
"Rørgata 4, 6517 Kristiansund N",18000,2023-03-29,Elektrisitet,590000,Nissan ARIYA,"Nissan Ariya 87 kWt e-4ORCE Evolve , Krok og Nappaskinn",https://www.finn.no/car/used/ad.html?finnkode=334899606,2023
"Rundhågen 6, 9409 Harstad",6000,2023-05-09,Elektrisitet,559000,Nissan ARIYA,Nissan Ariya 87kWt e-4ORCE NYBILPRIS 602.018,https://www.finn.no/car/used/ad.html?finnkode=335357913,2023
"Lerstadvegen 534, 6018 Ålesund",14000,2023-03-23,Elektrisitet,559000,Nissan ARIYA,Nissan Ariya Evolve E-4ORCE 87KW Firehjulsstrekk!,https://www.finn.no/car/used/ad.html?finnkode=334547191,2023
1739 Borgenhaugen,2000,2022-12-30,Elektrisitet,430129,Nissan ARIYA,Nissan Ariya Evolve. H Feste.,https://www.finn.no/car/used/ad.html?finnkode=286089223,2022
"Solavegen 23, 4352 Kleppe",8300,2023-05-25,Elektrisitet,489000,Nissan ARIYA,"Nissan Ariya Topputstyrt Evolve, 87kwh, 22kw lader, tilhengerfeste++",https://www.finn.no/car/used/ad.html?finnkode=336310519,2023
"Kokstadveien 22 - 24, 5257 Kokstad",13500,2022-12-29,Elektrisitet,398900,Nissan ARIYA,"Nissan Ariya Advance 63kWt Ryggekamera,Mm",https://www.finn.no/car/used/ad.html?finnkode=336419801,2022
"Kokstadveien 22 - 24, 5257 Kokstad",21000,2022-11-10,Elektrisitet,479900,Nissan ARIYA,"Nissan Ariya Evolve 87kWt HUD/Pano/BOSE/360Kamera,533KM WLTP",https://www.finn.no/car/used/ad.html?finnkode=336318914,2022
"Parallellvegen 64, 2092 Minnesund",20000,2023-05-16,Elektrisitet,539000,Nissan ARIYA,Nissan Ariya e4ORCE Evolve 87kWt Topputstyrt med skinn + 22 kw lader,https://www.finn.no/car/used/ad.html?finnkode=336439076,2023
"Janaflaten 43, 5179 Godvik",13900,2023-02-06,Elektrisitet,494900,Nissan ARIYA,"Nissan Ariya Evolve 87kWt Bose, Head-up, Panorama, 360-kamera,",https://www.finn.no/car/used/ad.html?finnkode=336441378,2023
