distance,first_registration,fuel,price,search,title,url,year
3000,2022-08-23,Elektrisitet,379900,kia e-niro,"Kia Niro V-PUMPE,EL-SETE,SKINN,UNDERSPRØYTET,SOMMER+VINTERHJUL",https://www.finn.no/car/used/ad.html?finnkode=341388150,2023
89000,2020-01-07,Elektrisitet,236129,kia e-niro,Kia E-Niro E-NIRO 150KW,https://www.finn.no/car/used/ad.html?finnkode=341551290,2019
10,2022-08-08,Elektrisitet,389900,kia e-niro,"Kia E-Niro EL-SETE,V-PUMP,2xLED,MØRKE RUTER,LADEPLATE MOBIL,TECTYL",https://www.finn.no/car/used/ad.html?finnkode=341388258,2023
17300,2022-12-15,Elektrisitet,367129,kia e-niro,Kia Niro NIRO 150KW,https://www.finn.no/car/used/ad.html?finnkode=341500746,2023
9999,2022-12-27,Elektrisitet,369900,kia e-niro,"Kia Niro EV 64,8 kWh Active",https://www.finn.no/car/used/ad.html?finnkode=341705262,2023
13999,2022-11-29,Elektrisitet,369900,kia e-niro,"Kia Niro EV 64,8 kWh Active",https://www.finn.no/car/used/ad.html?finnkode=341709153,2023
20999,2022-12-27,Elektrisitet,369900,kia e-niro,"Kia Niro EV 64,8 kWh Active",https://www.finn.no/car/used/ad.html?finnkode=341707529,2023
64900,2020-11-20,Elektrisitet,309000,kia e-niro,"Kia E-Niro E-NIRO 150KW,Exclusive.skinn,takluke+++",https://www.finn.no/car/used/ad.html?finnkode=329759627,2021
12999,2022-11-29,Elektrisitet,369900,kia e-niro,"Kia Niro EV 64,8 kWh Active",https://www.finn.no/car/used/ad.html?finnkode=341706368,2023
13280,2023-02-28,Elektrisitet,369900,kia e-niro,"Kia Niro EV 64,8 kWh Active",https://www.finn.no/car/used/ad.html?finnkode=341703786,2023
46000,2021-03-29,Elektrisitet,322129,kia e-niro,Kia E-Niro E-NIRO 460KM+.SOLT.HENGERFESTE.NORSK.7ÅR/150KM,https://www.finn.no/car/used/ad.html?finnkode=340352919,2021
12720,2022-12-16,Elektrisitet,429000,kia e-niro,"Kia Niro EV 64,8 kWh Active Pluss Ryggekamera, Navi++",https://www.finn.no/car/used/ad.html?finnkode=340323785,2023
77000,2019-03-01,Elektrisitet,259000,kia e-niro,Kia Niro 64KW First Edition/Alt Utstyr!,https://www.finn.no/car/used/ad.html?finnkode=340446639,2019
114200,2019-02-11,Elektrisitet,249000,kia e-niro,Kia E-Niro 64kWh 455km WLTP,https://www.finn.no/car/used/ad.html?finnkode=340380599,2019
185156,2021-01-18,Elektrisitet,249000,kia e-niro,Kia E-Niro Exclusive,https://www.finn.no/car/used/ad.html?finnkode=340323856,2021
75095,2019-06-12,Elektrisitet,264900,kia e-niro,Kia Soul 64 kWt Exclusive VELHOLDT-TOPPUTSTYRT-SKINN,https://www.finn.no/car/used/ad.html?finnkode=340450685,2020
131100,2022-02-02,Elektrisitet,265000,kia e-niro,"Kia E-Niro Toppmodell , 45 mil rekkevidde",https://www.finn.no/car/used/ad.html?finnkode=340449654,2022
95000,2019-02-22,Elektrisitet,238900,kia e-niro,Kia E-Niro NORSK:) ALT UTSTYR!! 64KW FULLSKINN JBL VARMEPUMPE,https://www.finn.no/car/used/ad.html?finnkode=340457629,2019
105800,2022-01-03,Elektrisitet,289900,kia e-niro,Kia E-Niro Exclusive skinn/ 11kw lader/ Norsk/ 45 mil rekkevidde,https://www.finn.no/car/used/ad.html?finnkode=340452928,2022
11525,2022-12-30,Elektrisitet,349900,kia e-niro,Kia Soul 64 kWt Exclusive TOPPUTSTYRT-NY PRIS NED 10000 KR,https://www.finn.no/car/used/ad.html?finnkode=340475624,2023
99990,2020-11-30,Elektrisitet,289000,kia e-niro,Kia E-Niro 64kw 204hk Executive REKKEVIDDE 45 Mil Skinn JBL,https://www.finn.no/car/used/ad.html?finnkode=338213128,2021
38500,2020-11-11,Elektrisitet,299000,kia e-niro,Kia Soul EXCLUS 64KWH/204HK/452KM HUD SKINN ACC PUMPE H&K KROK,https://www.finn.no/car/used/ad.html?finnkode=338372679,2021
8229,2022-12-06,Elektrisitet,385000,kia e-niro,Kia E-Niro Active,https://www.finn.no/car/used/ad.html?finnkode=338480510,2023
50500,2019-09-16,Elektrisitet,279000,kia e-niro,Kia E-Niro EXCLUSIVE SKINN ADAPT.CRUISE R.KAM NAVI VARMEPUMPE,https://www.finn.no/car/used/ad.html?finnkode=338397888,2019
10,2023-09-04,Elektrisitet,429000,kia e-niro,Kia Niro Spirit Technology Package/Relax Package/Soltak/HeadUp++,https://www.finn.no/car/used/ad.html?finnkode=338499389,2023
73812,2020-10-14,Elektrisitet,289000,kia e-niro,Kia E-Niro Exclusive,https://www.finn.no/car/used/ad.html?finnkode=338587207,2020
61877,2022-07-13,Elektrisitet,287129,kia e-niro,Kia E-Niro E-NIRO 150KW 204 hester,https://www.finn.no/car/used/ad.html?finnkode=338493774,2021
23000,2021-08-23,Elektrisitet,299900,kia e-niro,Kia Niro E-Niro,https://www.finn.no/car/used/ad.html?finnkode=338698210,2021
