area,distance,first_registration,fuel,price,search,title,url,year
"Ing. Rybergsgate 96, 3027 Drammen",55200,2021-12-02,Diesel,429900,Skoda Octavia,Skoda Octavia style tdi 150hk 4x4 Matrix ELseter Hfeste R-kam Webasto,https://www.finn.no/car/used/ad.html?finnkode=343962232,2022
9513 Alta,99700,2015-11-06,Diesel,229999,Skoda Octavia,Skoda Octavia OCTAVIA Laurin og Klemet 2.0-184 D 4X4 DSG,https://www.finn.no/car/used/ad.html?finnkode=343361146,2016
4885 Grimstad,125000,2017-02-24,Diesel,244305,Skoda Octavia,"Skoda Octavia RS 2.0 TDI 4x4 DSG, Webasto, Hengerfeste, DAB",https://www.finn.no/car/used/ad.html?finnkode=343987640,2017
"Alkevegen 5, 9015 Tromsø",53725,2021-12-13,Diesel,399000,Skoda Octavia,Skoda Octavia a8 stv sty150hk d 4x4 dsg Utstyr-Garanti-Bytte,https://www.finn.no/car/used/ad.html?finnkode=343985651,2022
"Hadelandsvegen 2105, 2740 Roa",166000,2013-11-28,Diesel,98000,Skoda Octavia,Skoda Octavia 1.6TDI 105Hk Stv/ELEGANCE/Xenon/PDC/DAB//H-Feste/Alu,https://www.finn.no/car/used/ad.html?finnkode=343990667,2014
"Alkevegen 5, 9015 Tromsø",49064,2022-05-09,Diesel,429000,Skoda Octavia,Skoda Octavia a8 stv sty150hk d 4x4 dsg Varmer-Krok-Navi-R.Kam-ACC ++,https://www.finn.no/car/used/ad.html?finnkode=343992549,2022
"Brusdalsveien 200, 6011 Ålesund",41396,2020-12-21,El + Bensin,319800,Skoda Octavia,Skoda Octavia a8 stv sty 204tsi phev dsg,https://www.finn.no/car/used/ad.html?finnkode=343984230,2021
"Alkevegen 5, 9015 Tromsø",51520,2022-05-09,Diesel,439000,Skoda Octavia,Skoda Octavia a8 stv sty150hk d 4x4 dsg Garanti-Utstyr-Bytte,https://www.finn.no/car/used/ad.html?finnkode=343993000,2022
"Myreneveien 25, 4842 Arendal",51142,2020-11-26,El + Bensin,394800,Skoda Octavia,"Skoda Octavia RS 1,4 TSI 245hk iV PHEV ACC/NAVI/360CAM/WEBASTO/RATTVARME",https://www.finn.no/car/used/ad.html?finnkode=344009917,2021
"JONGSÅSVEIEN 4, 1338 Sandvika",79600,2021-02-02,Diesel,279000,Skoda Octavia,"Skoda Octavia 2,0TDI 150HK DSG Style/Acc/Krok/Webasto/Kamera/Keyless",https://www.finn.no/car/used/ad.html?finnkode=343247773,2021
6433 Hustad,286300,2010-02-26,Diesel,16845,Skoda Octavia,Skoda Octavia OCTAVIA 1.6-105 D 4X4,https://www.finn.no/car/used/ad.html?finnkode=344020731,2010
"Verksvegen 8, 7725 Steinkjer",181800,2014-01-15,Diesel,139000,Skoda Octavia,Skoda Octavia 1.6 TDi 4x4 105 hk H.feste/Skinn/Varmer/Navi/Garanti,https://www.finn.no/car/used/ad.html?finnkode=344017743,2014
"Barstølveien 22 F, 4636 Kristiansand S",153200,2013-12-18,Diesel,158900,Skoda Octavia,Skoda Octavia 150HK 4X4 Navi BT Cruise Dieselvarmer HF EU 03/25,https://www.finn.no/car/used/ad.html?finnkode=344013519,2014
"Torolf Storsveensvei 15, 2411 Elverum",114098,2019-07-12,Diesel,315000,Skoda Octavia,"Skoda Octavia Scout 2,0 TDI 184hk 4x4 aut Panorama/Ryggek./Navi/Keyless",https://www.finn.no/car/used/ad.html?finnkode=344012950,2019
0581 Oslo,211000,2010-04-29,Diesel,65000,Skoda Octavia,Skoda Octavia OCTAVIA 1.6-105 D - AUTOMAT - EU OK 2026  - SERVICE,https://www.finn.no/car/used/ad.html?finnkode=343501314,2010
"Dyrskuevegen 4, 2040 Kløfta",26600,2015-09-09,Bensin,189900,Skoda Octavia,Skoda Octavia 1.2TSi(110 HK)Style/Navigasjon/DAB/BT/R.Kam/Sjekk KM!,https://www.finn.no/car/used/ad.html?finnkode=344022232,2016
5914 Isdalstø,233000,2011-04-01,Diesel,36845,Skoda Octavia,Skoda Octavia OCTAVIA 1.6-105 D,https://www.finn.no/car/used/ad.html?finnkode=344067148,2010
"Raset 19, 3735 Skien",107910,2018-04-16,Bensin,259000,Skoda Octavia,Skoda Octavia Scout 1.8TSI 180HK 4X4 AUTOMAT ACC WEBASTO KROK DAB PDC +++,https://www.finn.no/car/used/ad.html?finnkode=344070380,2018
"dammyr 16, 1605 Fredrikstad",151000,2012-05-24,Diesel,59000,Skoda Octavia,Skoda Octavia OCTAVIA TDI  4X4 2012.EU TIL 18/02/2026,https://www.finn.no/car/used/ad.html?finnkode=341401007,2012
"Olav Ingstads vei 7 B, 1351 Rud",144500,2021-05-11,Diesel,249000,Skoda Octavia,"Skoda Octavia 2,0TDI 150HK DSG STYLE WEBASTO ACC CRYSTAL ACTIVE-INFO+",https://www.finn.no/car/used/ad.html?finnkode=343415010,2021
