area,distance,first_registration,fuel,price,search,title,url,year
"Millerjordbukta, 8501 Narvik",84368,2020-01-22,El + Bensin,359000,Mitsubishi Outlander,"Mitsubishi Outlander S Edition 2,4 224hk",https://www.finn.no/car/used/ad.html?finnkode=339537419,2020
"Heiamyrå 16A, 4031 Stavanger",105246,2018-03-26,El + Bensin,289000,Mitsubishi Outlander,Mitsubishi Outlander S-Edition/Soltak/ACC/Skinn/Krok/DAB/360Kamera/Keyless++,https://www.finn.no/car/used/ad.html?finnkode=339607612,2018
6040 Vigra,174500,2016-03-01,El + Bensin,174305,Mitsubishi Outlander,Mitsubishi Outlander OUTLANDER 2.0-121 4WD,https://www.finn.no/car/used/ad.html?finnkode=339869283,2016
"Lierstranda 58, 3414 Lierstranda",157800,2010-06-22,Bensin,99845,Mitsubishi Outlander,"Mitsubishi Outlander 2,0 BENSIN 146HK AUTOMAT,H FESTE,SPORTSSETER++",https://www.finn.no/car/used/ad.html?finnkode=339901566,2010
"Martin Moesgt 10, 7503 Stjørdal",122300,2017-10-16,El + Bensin,291253,Mitsubishi Outlander,"Mitsubishi Outlander 2.0 S.Edition 4WD Automat Skinn,Kamera,Carplay,ACC,Krok",https://www.finn.no/car/used/ad.html?finnkode=339951875,2018
"Råsa 27, 6030 Langevåg",190000,2011-06-01,Diesel,100845,Mitsubishi Outlander,Mitsubishi Outlander OUTLANDER 2.2-156 D 4WD,https://www.finn.no/car/used/ad.html?finnkode=340370189,2010
"Leangen Alle 6, 7044 Trondheim",45000,2021-02-24,El + Bensin,369000,Mitsubishi Outlander,Mitsubishi Outlander 2.4  PHEV Instyle+ NORSK-7ÅRSGARANTI-NAVI-KAMERA++,https://www.finn.no/car/used/ad.html?finnkode=340006491,2020
"Skotfossvegen 35, 3720 Skien",91000,2019-02-28,El + Bensin,265000,Mitsubishi Outlander,Mitsubishi Outlander PHEV 2.0 4WD /Skinn /ACC/ R.Kamera/Navi / Krok/ Garanti,https://www.finn.no/car/used/ad.html?finnkode=340566427,2019
"Elsetvegen 7, 3731 Skien",177000,2011-01-27,Diesel,125000,Mitsubishi Outlander,Mitsubishi Outlander DI-D 2.2/156HK/AWD/Delskinn/H.Feste/Automat/EU2025,https://www.finn.no/car/used/ad.html?finnkode=340574748,2011
"Heiamyrå 16A, 4031 Stavanger",51808,2019-03-29,El + Bensin,329000,Mitsubishi Outlander,Mitsubishi Outlander Instyle+/Rockford//Krok/AppleCar/Skinn/360kam/AdaptivC,https://www.finn.no/car/used/ad.html?finnkode=340483452,2019
